station_id,station_name,longitude,latitude
111,"Park Lane, Hyde Park",-0.157276,51.51
112,"Stonecutter Street, Holborn",-0.10527,51.5158
113,"Gloucester Road (Central), South Kensington",-0.183289,51.4965
114,"Park Road (Baker Street), The Regent's Park",-0.15896400000000002,51.5245
115,"Braham Street, Aldgate",-0.0735377,51.5142
116,"Little Argyll Street, West End",-0.141424,51.5145
117,"Lollard Street, Vauxhall",-0.114934,51.4929
118,"Rochester Row, Westminster",-0.135478,51.4958
119,"Bath Street, St. Luke's",-0.0908478,51.5259
120,"The Guildhall, Guildhall",-0.0930808,51.5157
121,"Baker Street, Marylebone",-0.156167,51.5189
122,"Norton Folgate, Liverpool Street",-0.0788698,51.5211
123,"St. John Street, Finsbury",-0.104725,51.5284
124,"Eaton Square, Belgravia",-0.15090499999999998,51.4965
125,"Borough High Street, The Borough",-0.0945243,51.5007
126,"Museum of London, Barbican",-0.0964969,51.5178
127,"Wood Street, Guildhall",-0.0938854,51.516999999999996
128,"Emperor's Gate, South Kensington",-0.185297,51.4954
129,"Golden Square, Soho",-0.137044,51.5119
130,"Tower Gardens, Tower",-0.0754595,51.5095
131,"Eversholt Street, Camden Town",-0.136793,51.533
132,"Bethnal Green Road, Shoreditch",-0.0747549,51.5236
133,"Derry Street, Kensington",-0.191462,51.5014
134,"Wapping High Street, Wapping",-0.06797,51.5049
135,"Clerkenwell Green, Clerkenwell",-0.104709,51.5233
136,"Queen Victoria Street, St. Paul's",-0.09744169999999999,51.512
138,"Green Street, Mayfair",-0.157437,51.5123
139,"Lambeth Road, Vauxhall",-0.117975,51.4949
140,"Finsbury Square, Moorgate",-0.0856342,51.521
141,"Chapel Place, Marylebone",-0.147204,51.5153
142,"West Cromwell Road, Earl's Court",-0.198287,51.4937
143,"Pont Street, Knightsbridge",-0.161204,51.4969
144,"Kennington Cross, Kennington",-0.111436,51.4889
145,"Ilchester Place, Kensington",-0.202759,51.5007
146,"Vauxhall Bridge, Pimlico",-0.12936199999999998,51.4884
147,"Portugal Street, Holborn",-0.116146,51.5149
148,"Tachbrook Street, Victoria",-0.13836500000000002,51.4921
149,"Kennington Road Post Office, Oval",-0.11068299999999999,51.4848
150,"Holy Trinity Brompton, Knightsbridge",-0.168917,51.4971
151,"Chepstow Villas, Notting Hill",-0.20155499999999998,51.5121
152,"Hampton Street, Walworth",-0.101537,51.4922
153,"Bayswater Road, Hyde Park",-0.174293,51.5118
154,"Waterloo Station 3, Waterloo",-0.113864,51.504
155,"Lexham Gardens, Kensington",-0.191934,51.4959
156,"New Kent Road, The Borough",-0.0929212,51.4944
157,"Wright's Lane, Kensington",-0.19306800000000002,51.5004
158,"Trebovir Road, Earl's Court",-0.19617,51.4909
159,"Great Marlborough Street, Soho",-0.13784100000000002,51.5146
160,"Waterloo Place, St. James's",-0.131774,51.5066
161,"Guildhouse Street, Victoria",-0.141334,51.4923
162,"Southampton Place, Holborn",-0.12132799999999999,51.5176
163,"Sloane Avenue, Knightsbridge",-0.16789500000000002,51.4932
164,"Cleveland Gardens, Bayswater",-0.183119,51.5156
165,"Orsett Terrace, Bayswater",-0.18371700000000002,51.5179
166,"Seville Street, Knightsbridge",-0.159237,51.5019
167,"Eccleston Place, Victoria",-0.147624,51.494
168,"Argyll Road, Kensington",-0.195456,51.5004
169,"Porchester Place, Paddington",-0.165164,51.5147
170,"Hardwick Street, Clerkenwell",-0.10806800000000001,51.5278
171,"Collingham Gardens, Earl's Court",-0.186754,51.4916
172,"Sumner Place, South Kensington",-0.173716,51.4912
173,"Waterloo Road, South Bank",-0.113001,51.5049
174,"Strand, Strand",-0.11516300000000002,51.5125
175,"Worship Street, Shoreditch",-0.0811189,51.5217
